spectrum_id,inchikey,ion_mode,precursor_mz,instrument_type,contributor,license
MSBNK-ACES_SU-AS000272,YAPQBXQYLJRXSA-UHFFFAOYSA-N,POSITIVE,181.0719,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000273,NOSIYYJFMPDDSA-UHFFFAOYSA-N,POSITIVE,327.1523,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000274,SIYLLGKDQZGJHK-UHFFFAOYSA-N,POSITIVE,412.3208,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000275,XBJBPGROQZJDOJ-UHFFFAOYSA-N,POSITIVE,370.1373,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000276,VKYKSIONXSXAKP-UHFFFAOYSA-N,POSITIVE,141.1132,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000277,CFOYWRHIYXMDOT-UHFFFAOYSA-N,POSITIVE,187.0533,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000278,BPEGJWRSRHCHSN-UHFFFAOYSA-N,POSITIVE,195.0621,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000279,HLFSDGLLUJUHTE-SNVBAGLBSA-N,POSITIVE,205.0791,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000280,ZIMGGGWCDYVHOY-UHFFFAOYSA-N,POSITIVE,210.1344,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000281,LBHIOVVIQHSOQN-UHFFFAOYSA-N,POSITIVE,212.0664,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000282,WJAJPNHVVFWKKL-UHFFFAOYSA-N,POSITIVE,212.1275,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000283,MKUXAQIIEYXACX-UHFFFAOYSA-N,POSITIVE,226.0927,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000284,FJLBFSROUSIWMA-UHFFFAOYSA-N,POSITIVE,227.1174,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000285,FTALBRSUTCGOEG-UHFFFAOYSA-N,POSITIVE,235.0144,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000286,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,POSITIVE,245.0949,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000287,JLKIGFTWXXRPMT-UHFFFAOYSA-N,POSITIVE,254.0591,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000288,UHSKFQJFRQCDBE-UHFFFAOYSA-N,POSITIVE,261.1954,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000289,METKIMKYRPQLGS-UHFFFAOYSA-N,POSITIVE,267.1695,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000290,SOYKEARSMXGVTM-UHFFFAOYSA-N,POSITIVE,275.1302,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000291,UNAANXDKBXWMLN-UHFFFAOYSA-N,POSITIVE,280.1824,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000292,PTOAARAWEBMLNO-KVQBGUIXSA-N,POSITIVE,286.0699,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000293,DQKXQSGTHWVTAD-UHFFFAOYSA-N,POSITIVE,294.2061,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000294,MPHPHYZQRGLTBO-UHFFFAOYSA-N,POSITIVE,301.1653,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000295,BEZZFPOZAYTVHN-UHFFFAOYSA-N,POSITIVE,316.0742,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000296,OGJPXUAPXNRGGI-UHFFFAOYSA-N,POSITIVE,320.1397,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000297,HFHZKZSRXITVMK-UHFFFAOYSA-N,POSITIVE,325.1539,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000298,GOEMGAFJFRBGGG-UHFFFAOYSA-N,POSITIVE,337.2116,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000299,LBXHRAWDUMTPSE-AOOOYVTPSA-N,POSITIVE,346.0981,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000300,YCOYDOIWSSHVCK-UHFFFAOYSA-N,POSITIVE,347.105,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000301,IPOKCKJONYRRHP-UHFFFAOYSA-N,POSITIVE,358.103,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000302,YMTINGFKWWXKFG-UHFFFAOYSA-N,POSITIVE,361.1197,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000303,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,POSITIVE,361.2,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000304,OJGDCBLYJGHCIH-UHFFFAOYSA-N,POSITIVE,375.0062,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000305,JBDGDEWWOUBZPM-UHFFFAOYSA-N,POSITIVE,378.9829,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000306,JCCNYMKQOSZNPW-UHFFFAOYSA-N,POSITIVE,383.1517,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000307,GFNANZIMVAIWHM-OBYCQNJPSA-N,POSITIVE,395.1854,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000308,ALEXXDVDDISNDU-JZYPGELDSA-N,POSITIVE,405.2263,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000309,ZEWQUBUPAILYHI-UHFFFAOYSA-N,POSITIVE,408.17,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000310,GPXLMGHLHQJAGZ-JTDSTZFVSA-N,POSITIVE,415.1315,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000311,PLDUPXSUYLZYBN-UHFFFAOYSA-N,POSITIVE,438.1815,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000312,FBHSPRKOSMHSIF-GRMWVWQJSA-N,POSITIVE,442.221,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000313,GKQPCPXONLDCMU-CCEZHUSRSA-N,POSITIVE,456.2368,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000314,RDOIQAHITMMDAJ-UHFFFAOYSA-N,POSITIVE,477.2291,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000315,WIGIZIANZCJQQY-UHFFFAOYSA-N,POSITIVE,491.2317,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000316,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,POSITIVE,494.1508,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000317,UBQYURCVBFRUQT-UHFFFAOYSA-N,POSITIVE,561.3589,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000318,FAXGPCHRFPCXOO-LXTPJMTPSA-N,POSITIVE,686.4688,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000319,LTMHDMANZUZIPE-PUGKRICDSA-N,POSITIVE,781.4359,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000320,QRXWMOHMRWLFEY-UHFFFAOYSA-N,POSITIVE,138.0658,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000321,HLFSDGLLUJUHTE-UHFFFAOYSA-N,POSITIVE,205.079,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000322,XKFPYPQQHFEXRZ-UHFFFAOYSA-N,POSITIVE,232.1078,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000323,NNJVILVZKWQKPM-UHFFFAOYSA-N,POSITIVE,235.18,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000324,RAOCRURYZCVHMG-UHFFFAOYSA-N,POSITIVE,250.1183,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000325,OIRDTQYFTABQOQ-UHTZMRCNSA-N,POSITIVE,268.1035,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000326,XOXHILFPRYWFOD-UHFFFAOYSA-N,POSITIVE,285.0202,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000327,MCGSCOLBFJQGHM-SCZZXKLOSA-N,POSITIVE,287.1607,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000328,OPXLLQIJSORQAM-UHFFFAOYSA-N,POSITIVE,296.102,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000329,KQKPFRSPSRPDEB-UHFFFAOYSA-N,POSITIVE,296.1417,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000330,LSLYOANBFKQKPT-UHFFFAOYSA-N,POSITIVE,304.154,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000331,RJKFOVLPORLFTN-LEKSSAKUSA-N,POSITIVE,315.2309,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000332,WSPOMRSOLSGNFJ-AUWJEWJLSA-N,POSITIVE,316.0918,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000333,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,POSITIVE,319.1025,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000334,YNNUSGIPVFPVBX-NHCUHLMSSA-N,POSITIVE,344.1766,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000335,JYJTVFIEFKZWCJ-UHFFFAOYSA-N,POSITIVE,361.1556,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000336,QYIYFLOTGYLRGG-GPCCPHFNSA-N,POSITIVE,368.0456,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000337,ANZXOIAKUNOVQU-UHFFFAOYSA-N,POSITIVE,368.2172,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000338,WIKYUJGCLQQFNW-UHFFFAOYSA-N,POSITIVE,374.1443,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000339,VHRSUDSXCMQTMA-PJHHCJLFSA-N,POSITIVE,375.2162,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000340,XUBOMFCQGDBHNK-UHFFFAOYSA-N,POSITIVE,376.1657,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000341,GBXSMTUPTTWBMN-XIRDDKMYSA-N,POSITIVE,377.2068,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000342,VGLGVJVUHYTIIU-UHFFFAOYSA-N,POSITIVE,383.9902,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000343,FAIIFDPAEUKBEP-UHFFFAOYSA-N,POSITIVE,386.1342,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000344,GPKJTRJOBQGKQK-UHFFFAOYSA-N,POSITIVE,400.2145,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000345,BYBLEWFAAKGYCD-UHFFFAOYSA-N,POSITIVE,414.9919,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000346,HDACQVRGBOVJII-JBDAPHQKSA-N,POSITIVE,417.2372,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000347,JLGKQTAYUIMGRK-UHFFFAOYSA-N,POSITIVE,437.0029,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000348,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,POSITIVE,452.1918,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000349,WDQPAMHFFCXSNU-UHFFFAOYSA-N,POSITIVE,473.1288,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000350,GZUITABIAKMVPG-UHFFFAOYSA-N,POSITIVE,474.173,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000351,IZEKFCXSFNUWAM-UHFFFAOYSA-N,POSITIVE,505.3239,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000352,IOYZYMQFUSNATM-UHFFFAOYSA-N,POSITIVE,511.4362,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000353,RMMXLENWKUUMAY-UHFFFAOYSA-N,POSITIVE,515.2426,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000354,ATALOFNDEOCMKK-OITMNORJSA-N,POSITIVE,535.1566,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000355,OBZHEBDUNPOCJG-WBXJDKIVSA-N,POSITIVE,571.3614,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000356,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,POSITIVE,646.0289,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000357,XUFXOAAUWZOOIT-UGEKTDRHSA-N,POSITIVE,646.2521,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000358,DJQOOSBJCLSSEY-UHFFFAOYSA-N,POSITIVE,155.0449,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000359,DNTGGZPQPQTDQF-XBXARRHUSA-N,POSITIVE,204.138,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000360,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,POSITIVE,211.1661,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000361,CJCSPKMFHVPWAR-JTQLQIEISA-N,POSITIVE,212.0914,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000362,CLPFFLWZZBQMAO-UHFFFAOYSA-N,POSITIVE,224.1177,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000363,NDAUXUAQIAJITI-LBPRGKRZSA-N,POSITIVE,240.1589,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000364,JNTOCHDNEULJHD-UHFFFAOYSA-N,POSITIVE,254.1243,LC-ESI-QFT,ACES_SU,CC BY
